Frequency (Hz)	Level (dB)
2939.282227	-53.459183
2950.048828	-55.472126
2960.815430	-57.129360
2971.582031	-57.923874
2982.348633	-58.636238
2993.115234	-58.897461
3003.881836	-59.212292
3014.648438	-59.152912
3025.415039	-59.226135
3036.181641	-59.526684
3046.948242	-59.639652
3057.714844	-59.295074
3068.481445	-59.452339
3079.248047	-59.170353
3090.014648	-58.667412
3100.781250	-57.187378
3111.547852	-55.185215
3122.314453	-53.408092
3133.081055	-52.309654
3143.847656	-52.152760
3154.614258	-52.059593
3165.380859	-51.508263
3176.147461	-51.970531
3186.914062	-53.933167
3197.680664	-58.243858
3208.447266	-64.113960
3219.213867	-61.475876
3229.980469	-57.670891
3240.747070	-54.915630
3251.513672	-52.896576
3262.280273	-51.056087
3273.046875	-49.338024
3283.813477	-47.696095
3294.580078	-45.674015
3305.346680	-44.329205
3316.113281	-42.329773
3326.879883	-40.248760
3337.646484	-39.128178
3348.413086	-39.131081
3359.179688	-40.419022
3369.946289	-42.552219
3380.712891	-44.360508
3391.479492	-46.080128
3402.246094	-47.193100
3413.012695	-47.710751
3423.779297	-47.368061
3434.545898	-45.909168
3445.312500	-44.271957
3456.079102	-43.678394
3466.845703	-44.268757
3477.612305	-44.939804
3488.378906	-45.612461
3499.145508	-46.593433
3509.912109	-47.262165
3520.678711	-47.586399
3531.445312	-47.818665
3542.211914	-48.296165
3552.978516	-49.170719
3563.745117	-50.798813
3574.511719	-53.596989
3585.278320	-57.480148
3596.044922	-59.876328
3606.811523	-59.727455
3617.578125	-59.194714
3628.344727	-58.657448
3639.111328	-58.158760
3649.877930	-57.553020
3660.644531	-56.969585
3671.411133	-56.713463
3682.177734	-55.953396
3692.944336	-55.371120
3703.710938	-55.107883
3714.477539	-54.989811
3725.244141	-55.448994
3736.010742	-56.598881
3746.777344	-58.267029
3757.543945	-59.727592
3768.310547	-59.756855
3779.077148	-58.359306
3789.843750	-57.302246
3800.610352	-57.178818
3811.376953	-57.493778
3822.143555	-57.893173
3832.910156	-58.324089
3843.676758	-58.792564
3854.443359	-58.881725
3865.209961	-58.985378
3875.976562	-59.258453
3886.743164	-59.597015
3897.509766	-59.941364
3908.276367	-60.553329
3919.042969	-61.314682
3929.809570	-62.170963
3940.576172	-63.870888
3951.342773	-63.624763
3962.109375	-58.321293
3972.875977	-52.355114
3983.642578	-47.614902
3994.409180	-44.830746
4005.175781	-43.858177
4015.942383	-44.954105
4026.708984	-47.337101
4037.475586	-50.284451
4048.242188	-53.196476
4059.008789	-54.329105
4069.775391	-54.579773
4080.541992	-54.419891
4091.308594	-53.783268
4102.075195	-53.203796
4112.841797	-52.703690
4123.608398	-52.496372
4134.375000	-51.884575
4145.141602	-52.189926
4155.908203	-53.603973
4166.674805	-55.512550
4177.441406	-58.803165
4188.208008	-60.025009
4198.974609	-52.596359
4209.741211	-46.772736
4220.507812	-43.017456
4231.274414	-40.731682
4242.041016	-39.565258
4252.807617	-39.665192
4263.574219	-40.913589
4274.340820	-43.169193
4285.107422	-45.501068
4295.874023	-47.410439
4306.640625	-49.157104
4317.407227	-50.317310
4328.173828	-51.517830
4338.940430	-51.937550
4349.707031	-52.580360
4360.473633	-53.013203
4371.240234	-53.402004
4382.006836	-53.189835
4392.773438	-53.248531
4403.540039	-53.143883
4414.306641	-52.998455
4425.073242	-52.790012
4435.839844	-52.822338
4446.606445	-53.018639
4457.373047	-54.033276
4468.139648	-55.285217
4478.906250	-56.887386
4489.672852	-58.846916
4500.439453	-61.157021
4511.206055	-64.477959
4521.972656	-69.259750
4532.739258	-68.727623
4543.505859	-65.377518
4554.272461	-63.686245
4565.039062	-63.215656
4575.805664	-62.790855
4586.572266	-62.715511
4597.338867	-62.521408
4608.105469	-62.800213
4618.872070	-63.171577
4629.638672	-63.934258
4640.405273	-64.862030
4651.171875	-66.324104
4661.938477	-68.494560
4672.705078	-69.051933
4683.471680	-67.655067
4694.238281	-65.643410
4705.004883	-64.223686
4715.771484	-63.019279
4726.538086	-62.373699
4737.304688	-61.638905
4748.071289	-61.090351
4758.837891	-60.292404
4769.604492	-59.654911
4780.371094	-59.000767
4791.137695	-58.235985
4801.904297	-57.875980
4812.670898	-57.817909
4823.437500	-57.054409
4834.204102	-56.624008
4844.970703	-56.358929
4855.737305	-55.969395
4866.503906	-55.604534
4877.270508	-54.844738
4888.037109	-54.049625
4898.803711	-53.862911
4909.570312	-53.506603
4920.336914	-52.804493
4931.103516	-52.446384
4941.870117	-52.134972
4952.636719	-51.452881
4963.403320	-51.128647
4974.169922	-50.635300
4984.936523	-50.004402
4995.703125	-49.892307
5006.469727	-49.478245
5017.236328	-49.643440
5028.002930	-50.016556
5038.769531	-50.752026
5049.536133	-51.330364
5060.302734	-52.336136
5071.069336	-53.235085
5081.835938	-53.881523
5092.602539	-54.758839
5103.369141	-55.285568
5114.135742	-56.056404
5124.902344	-56.810108
5135.668945	-57.309883
5146.435547	-58.125069
5157.202148	-58.783997
5167.968750	-59.058807
5178.735352	-59.672180
5189.501953	-60.412998
5200.268555	-61.033062
5211.035156	-61.979187
5221.801758	-63.003151
5232.568359	-64.002296
5243.334961	-64.974541
5254.101562	-66.226768
5264.868164	-67.583107
5275.634766	-69.168015
5286.401367	-71.153641
5297.167969	-73.294151
5307.934570	-75.425659
5318.701172	-78.179832
5329.467773	-80.951195
5340.234375	-84.003876
5351.000977	-87.547913
5361.767578	-90.950027
5372.534180	-95.122955
5383.300781	-99.285980
5394.067383	-103.812645
5404.833984	-109.620308
5415.600586	-115.397743
5426.367188	-121.334846
5437.133789	-128.429871
5447.900391	-135.430893
5458.666992	-141.105209
5469.433594	-143.785919
5480.200195	-144.871262
5490.966797	-145.411179
5501.733398	-145.701126
